PV_Size_kW,Battery_Size_kWh,Total_Cost_EUR,Payback_Period_Years,ROI_Percent
70,850,339000,1.6521033214005179,60.52890197885941
70,900,354000,1.725205238276647,57.964117996704346
70,950,369000,1.798307155152776,55.60785303748872
70,1000,384000,1.8714090720289052,53.435671278211814
70,1050,399000,1.9445109889050343,51.42681145572266
70,1100,414000,2.0176129057811636,49.563521185587774
70,1150,429000,2.0907148226572927,47.83053093434344
70,1200,444000,2.163816739533422,46.214634618994005
70,1250,459000,2.236918656409551,44.70435244190269
70,1300,474000,2.31002057328568,43.28965774437413
70,1350,489000,2.383122490161809,41.961754132583515
70,1400,504000,2.456224407037938,40.712892402447096
70,1450,519000,2.5293263239140673,39.53621921162493
70,1500,534000,2.6024282407901964,38.425651256242205
70,1550,549000,2.6755301576663255,37.37577007437766
70,1600,564000,2.7486320745424546,36.38173363622933
70,1650,579000,2.8217339914185837,35.43920167674152
